Gen 1:1
Αβρααμ N---NSM--- Αβρααμ
ἔλαβεν VBI-AAI3S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
ᾗ RR--DSF--- ὅς
ὄνομα N3M-NSN--- ὄνομα
Χεττουρα N---NSF--- Χεττουρα

Gen 25:2
ἔτεκεν VBI-AAI3S- τίκτω
δὲ X--------- δέ
αὐτῷ RD--DSM--- αὐτός
τὸν RA--ASM--- ὁ
Ζεμραν N---ASM--- Ζεμραν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ιεξαν N---ASM--- Ιεξαν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Μαδαν N---ASM--- Μαδαν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Μαδιαμ N---ASM--- Μαδιαμ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ιεσβοκ N---ASM--- Ιεσβοκ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Σωυε N---ASM--- Σωυε

Gen 25:3
Ιεξαν N---NSM--- Ιεξαν
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Σαβα N---ASM--- Σαβα
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Θαιμαν N---ASM--- Θαιμαν
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Δαιδαν N---ASM--- Δαιδαν
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Δαιδαν N---GSM--- Δαιδαν
ἐγένοντο VBI-AMI3P- γίγνομαι
Ραγουηλ N---NSM--- Ραγουηλ
καὶ C--------- καί
Ναβδεηλ N---NSM--- Ναβδεηλ
καὶ C--------- καί
Ασσουριιμ N---NPM--- Ασσουριιμ
καὶ C--------- καί
Λατουσιιμ N---NPM--- Λατουσιιμ
καὶ C--------- καί
Λοωμιμ N---NPM--- Λοωμιμ

Gen 25:4
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Μαδιαμ N---GSM--- Μαδιαμ
Γαιφα N---NSM--- Γαιφα
καὶ C--------- καί
Αφερ N---NSM--- Αφερ
καὶ C--------- καί
Ενωχ N---NSM--- Ενωχ
καὶ C--------- καί
Αβιρα N---NSM--- Αβιρα
καὶ C--------- καί
Ελραγα N---NSM--- Ελραγα
πάντες A3--NPM--- πᾶς
οὗτοι RD--NPM--- οὗτος
ἦσαν V9--IAI3P- εἰμί
υἱοὶ N2--NPM--- υἱός
Χεττουρας N---GSF--- Χεττουρα

Gen 25:5
ἔδωκεν VAI-AAI3S- δίδωμι
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτοῦ RD--GSM--- αὐτός
Ισαακ N---DSM--- Ισαακ
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Gen 25:6
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
τῶν RA--GPF--- ὁ
παλλακῶν N1--GPF--- παλλακή
αὐτοῦ RD--GSM--- αὐτός
ἔδωκεν VAI-AAI3S- δίδωμι
Αβρααμ N---NSM--- Αβρααμ
δόματα N3M-APN--- δόμα
καὶ C--------- καί
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
αὐτοὺς RD--APM--- αὐτός
ἀπὸ P--------- ἀπό
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἔτι D--------- ἔτι
ζῶντος V3--PAPGSM ζάω
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
ἀνατολὰς N1--APF--- ἀνατολή
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἀνατολῶν N1--GPF--- ἀνατολή

Gen 25:7
ταῦτα RD--NPN--- οὗτος
δὲ X--------- δέ
τὰ RA--NPN--- ὁ
ἔτη N3E-NPN--- ἔτος
ἡμερῶν N1A-GPF--- ἡμέρα
ζωῆς N1--GSF--- ζωή
Αβρααμ N---GSM--- Αβρααμ
ὅσα A1--APN--- ὅσος
ἔζησεν VAI-AAI3S- ζάω
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
πέντε M--------- πέντε
ἔτη N3E-NPN--- ἔτος

Gen 25:8
καὶ C--------- καί
ἐκλιπὼν VB--AAPNSM λείπω ἐκ
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
Αβρααμ N---NSM--- Αβρααμ
ἐν P--------- ἐν
γήρει N3--DSN--- γῆρας
καλῷ A1--DSM--- καλός
πρεσβύτης N1M-NSM--- πρεσβύτης
καὶ C--------- καί
πλήρης A3H-NSM--- πλήρης
ἡμερῶν N1A-GPF--- ἡμέρα
καὶ C--------- καί
προσετέθη VCI-API3S- τίθημι προς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός

Gen 25:9
καὶ C--------- καί
ἔθαψαν VAI-AAI3P- θάπτω
αὐτὸν RD--ASM--- αὐτός
Ισαακ N---NSM--- Ισαακ
καὶ C--------- καί
Ισμαηλ N---NSM--- Ισμαηλ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
σπήλαιον N2N-ASN--- σπήλαιον
τὸ RA--ASN--- ὁ
διπλοῦν A1C-ASN--- διπλοῦς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἀγρὸν N2--ASM--- ἀγρός
Εφρων N---GSM--- Εφρων
τοῦ RA--GSM--- ὁ
Σααρ N---GSM--- Σααρ
τοῦ RA--GSM--- ὁ
Χετταίου N2--GSM--- Χετταῖος
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀπέναντι P--------- ἀπέναντι
Μαμβρη N---GS---- Μαμβρη

Gen 25:10
τὸν RA--ASM--- ὁ
ἀγρὸν N2--ASM--- ἀγρός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σπήλαιον N2N-ASN--- σπήλαιον
ὃ RR--ASN--- ὅς
ἐκτήσατο VAI-AMI3S- κτάομαι
Αβρααμ N---NSM--- Αβρααμ
παρὰ P--------- παρά
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Χετ N---GSM--- Χετ
ἐκεῖ D--------- ἐκεῖ
ἔθαψαν VAI-AAI3P- θάπτω
Αβρααμ N---ASM--- Αβρααμ
καὶ C--------- καί
Σαρραν N---ASF--- Σαρρα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός

Gen 25:11
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
Αβρααμ N---ASM--- Αβρααμ
εὐλόγησεν VA--AAI3S- εὐλογέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισαακ N---ASM--- Ισαακ
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κατῴκησεν VAI-AAI3S- οἰκέω κατα
Ισαακ N---NSM--- Ισαακ
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
φρέαρ N3T-ASN--- φρέαρ
τῆς RA--GSF--- ὁ
ὁράσεως N3I-GSF--- ὅρασις

Gen 25:12
αὗται RD--NPF--- οὗτος
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
Ισμαηλ N---GSM--- Ισμαηλ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
Αβρααμ N---GSM--- Αβρααμ
ὃν RR--ASM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
Αγαρ N---NSF--- Αγαρ
ἡ RA--NSF--- ὁ
παιδίσκη N1--NSF--- παιδίσκη
Σαρρας N---GSF--- Σαρρα
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ

Gen 25:13
καὶ C--------- καί
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
ὀνόματα N3M-NPN--- ὄνομα
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισμαηλ N---GSM--- Ισμαηλ
κατ' P--------- κατά
ὄνομα N3M-ASN--- ὄνομα
τῶν RA--GPF--- ὁ
γενεῶν N1A-GPF--- γενεά
αὐτοῦ RD--GSM--- αὐτός
πρωτότοκος A1B-NSM--- πρωτότοκος
Ισμαηλ N---GSM--- Ισμαηλ
Ναβαιωθ N---NSM--- Ναβαιωθ
καὶ C--------- καί
Κηδαρ N---NSM--- Κηδαρ
καὶ C--------- καί
Ναβδεηλ N---NSM--- Ναβδεηλ
καὶ C--------- καί
Μασσαμ N---NSM--- Μασσαμ

Gen 25:14
καὶ C--------- καί
Μασμα N---NSM--- Μασμα
καὶ C--------- καί
Ιδουμα N---NSM--- Ιδουμα
καὶ C--------- καί
Μασση N---NSM--- Μασση

Gen 25:15
καὶ C--------- καί
Χοδδαδ N---NSM--- Χοδδαδ
καὶ C--------- καί
Θαιμαν N---NSM--- Θαιμαν
καὶ C--------- καί
Ιετουρ N---NSM--- Ιετουρ
καὶ C--------- καί
Ναφες N---NSM--- Ναφες
καὶ C--------- καί
Κεδμα N---NSM--- Κεδμα

Gen 25:16
οὗτοί RD--NPM--- οὗτος
εἰσιν V9--PAI3P- εἰμί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισμαηλ N---GSM--- Ισμαηλ
καὶ C--------- καί
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
ὀνόματα N3M-NPN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
σκηναῖς N1--DPF--- σκηνή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἐπαύλεσιν N3E-DPF--- ἐπαύλις
αὐτῶν RD--GPM--- αὐτός
δώδεκα M--------- δώδεκα
ἄρχοντες N3--NPM--- ἄρχων
κατὰ P--------- κατά
ἔθνη N3E-APN--- ἔθνος
αὐτῶν RD--GPM--- αὐτός

Gen 25:17
καὶ C--------- καί
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
ἔτη N3E-NPN--- ἔτος
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
Ισμαηλ N---GSM--- Ισμαηλ
ἑκατὸν M--------- ἑκατόν
τριάκοντα M--------- τριάκοντα
ἑπτὰ M--------- ἑπτά
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐκλιπὼν VB--AAPNSM λείπω ἐκ
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
καὶ C--------- καί
προσετέθη VCI-API3S- τίθημι προς
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
αὐτοῦ RD--GSM--- αὐτός

Gen 25:18
κατῴκησεν VAI-AAI3S- οἰκέω κατα
δὲ X--------- δέ
ἀπὸ P--------- ἀπό
Ευιλατ N---GS---- Ευιλατ
ἕως P--------- ἕως
Σουρ N---GS---- Σουρ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἕως C--------- ἕως
ἐλθεῖν VB--AAN--- ἔρχομαι
πρὸς P--------- πρός
Ἀσσυρίους N2--APM--- Ἀσσύριος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
κατῴκησεν VAI-AAI3S- οἰκέω κατα

Gen 25:19
καὶ C--------- καί
αὗται RD--NPF--- οὗτος
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
Αβρααμ N---GSM--- Αβρααμ
Αβρααμ N---NSM--- Αβρααμ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ισαακ N---ASM--- Ισαακ

Gen 25:20
ἦν V9--IAI3S- εἰμί
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
ἐτῶν N3E-GPN--- ἔτος
τεσσαράκοντα M--------- τεσσαράκοντα
ὅτε D--------- ὅτε
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
Ρεβεκκαν N---ASF--- Ρεβεκκα
θυγατέρα N3--ASF--- θυγάτηρ
Βαθουηλ N---GSM--- Βαθουηλ
τοῦ RA--GSM--- ὁ
Σύρου N2--GSM--- Σύρος
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Μεσοποταμίας N1A-GSF--- Μεσοποταμία
ἀδελφὴν N1--ASF--- ἀδελφή
Λαβαν N---GSM--- Λαβαν
τοῦ RA--GSM--- ὁ
Σύρου N2--GSM--- Σύρος
ἑαυτῷ RD--DSM--- ἑαυτοῦ
γυναῖκα N3K-ASF--- γυνή

Gen 25:21
ἐδεῖτο V2I-IMI3S- δέω
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
κυρίου N2--GSM--- κύριος
περὶ P--------- περί
Ρεβεκκας N---GSF--- Ρεβεκκα
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
στεῖρα N1A-NSF--- στεῖρα
ἦν V9--IAI3S- εἰμί
ἐπήκουσεν VAI-AAI3S- ἀκούω ἐπι
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἐν P--------- ἐν
γαστρὶ N3--DSF--- γαστήρ
Ρεβεκκα N---NSF--- Ρεβεκκα
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός

Gen 25:22
ἐσκίρτων V1--PAPNSM ἐσκίρτων
δὲ X--------- δέ
τὰ RA--NPN--- ὁ
παιδία N2N-NPN--- παιδίον
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
δέ X--------- δέ
εἰ C--------- εἰ
οὕτως D--------- οὕτως
μοι RP--DS---- ἐγώ
μέλλει V1--PAI3S- μέλλω
γίνεσθαι V1--PMN--- γίγνομαι
ἵνα C--------- ἵνα
τί RI--NSN--- τίς
μοι RP--DS---- ἐγώ
τοῦτο RD--ASN--- οὗτος
ἐπορεύθη VCI-API3S- πορεύομαι
δὲ X--------- δέ
πυθέσθαι VB--AMN--- πυνθάνομαι
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος

Gen 25:23
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
αὐτῇ RD--DSF--- αὐτός
δύο M--------- δύο
ἔθνη N3E-NPN--- ἔθνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γαστρί N3--DSF--- γαστήρ
σού RP--GS---- σύ
εἰσιν V9--PAI3P- εἰμί
καὶ C--------- καί
δύο M--------- δύο
λαοὶ N2--NPM--- λαός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κοιλίας N1A-GSF--- κοιλία
σου RP--GS---- σύ
διασταλήσονται VD--FPI3P- στέλλω δια
καὶ C--------- καί
λαὸς N2--NSM--- λαός
λαοῦ N2--GSM--- λαός
ὑπερέξει VF--FAI3S- ἔχω ὑπερ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
μείζων A3C-NSMC-- μέγας
δουλεύσει VF--FAI3S- δουλεύω
τῷ RA--DSM--- ὁ
ἐλάσσονι A3C-DSMC-- ἐλαχύς

Gen 25:24
καὶ C--------- καί
ἐπληρώθησαν VCI-API3P- πληρόω
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSN--- ὁ
τεκεῖν VB--AAN--- τίκτω
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
τῇδε RD--DSF--- ὅδε
ἦν V9--IAI3S- εἰμί
δίδυμα A1--NPN--- δίδυμος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλίᾳ N1A-DSF--- κοιλία
αὐτῆς RD--GSF--- αὐτός

Gen 25:25
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
ὁ RA--NSM--- ὁ
πρωτότοκος A1B-NSM--- πρωτότοκος
πυρράκης A1--NSM--- πυρράκης
ὅλος A1--NSM--- ὅλος
ὡσεὶ D--------- ὡσεί
δορὰ N1A-NSF--- δορά
δασύς A3U-NSM--- δασύς
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ησαυ N---ASM--- Ησαυ

Gen 25:26
καὶ C--------- καί
μετὰ P--------- μετά
τοῦτο RD--ASN--- οὗτος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
ἀδελφὸς N2--NSM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
χεὶρ N3--NSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ἐπειλημμένη VP--XMPNSF λαμβάνω ἐπι
τῆς RA--GSF--- ὁ
πτέρνης N1S-GSF--- πτέρνα
Ησαυ N---GSM--- Ησαυ
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ιακωβ N---ASM--- Ἰακώβ
Ισαακ N---NSM--- Ισαακ
δὲ X--------- δέ
ἦν V9--IAI3S- εἰμί
ἐτῶν N3E-GPN--- ἔτος
ἑξήκοντα M--------- ἑξήκοντα
ὅτε D--------- ὅτε
ἔτεκεν VBI-AAI3S- τίκτω
αὐτοὺς RD--APM--- αὐτός
Ρεβεκκα N---NSF--- Ρεβεκκα

Gen 25:27
ηὐξήθησαν VCI-API3P- αὐξάνω
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
νεανίσκοι N2--NPM--- νεανίσκος
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Ησαυ N---NSM--- Ησαυ
ἄνθρωπος N2--NSM--- ἄνθρωπος
εἰδὼς VX--XAPNSM οἶδα
κυνηγεῖν V2--PAN--- κυνηγέω
ἄγροικος A1B-NSM--- ἄγροικος
Ιακωβ N---NSM--- Ἰακώβ
δὲ X--------- δέ
ἦν V9--IAI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἄπλαστος A1B-NSM--- ἄπλαστος
οἰκῶν V2--PAPNSM οἰκέω
οἰκίαν N1A-ASF--- οἰκία

Gen 25:28
ἠγάπησεν VAI-AAI3S- ἀγαπάω
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
τὸν RA--ASM--- ὁ
Ησαυ N---ASM--- Ησαυ
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
θήρα N1A-NSF--- θήρα
αὐτοῦ RD--GSM--- αὐτός
βρῶσις N3I-NSF--- βρῶσις
αὐτῷ RD--DSM--- αὐτός
Ρεβεκκα N---NSF--- Ρεβεκκα
δὲ X--------- δέ
ἠγάπα V3I-IAI3S- ἀγαπάω
τὸν RA--ASM--- ὁ
Ιακωβ N---ASM--- Ἰακώβ

Gen 25:29
ἥψησεν VAI-AAI3S- ἕψω
δὲ X--------- δέ
Ιακωβ N---NSM--- Ἰακώβ
ἕψεμα N3M-ASN--- ἕψεμα
ἦλθεν VBI-AAI3S- ἔρχομαι
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
ἐκλείπων V1--PAPNSM λείπω ἐκ

Gen 25:30
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ησαυ N---NSM--- Ησαυ
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
γεῦσόν VA--AAD2S- γεύω
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ἑψέματος N3M-GSN--- ἕψεμα
τοῦ RA--GSM--- ὁ
πυρροῦ A1A-GSM--- πυρρός
τούτου RD--GSM--- οὗτος
ὅτι C--------- ὅτι
ἐκλείπω V1--PAI1S- λείπω ἐκ
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐκλήθη VCI-API3S- καλέω
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Εδωμ N---NSM--- Εδωμ

Gen 25:31
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ιακωβ N---NSM--- Ἰακώβ
τῷ RA--DSM--- ὁ
Ησαυ N---DSM--- Ησαυ
ἀπόδου VO--AMD2S- δίδωμι ἀπο
μοι RP--DS---- ἐγώ
σήμερον D--------- σήμερον
τὰ RA--APN--- ὁ
πρωτοτόκιά N2N-APN--- πρωτοτόκιον
σου RP--GS---- σύ
ἐμοί RP--DS---- ἐγώ

Gen 25:32
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πορεύομαι V1--PMI1S- πορεύομαι
τελευτᾶν V3--PAN--- τελευτάω
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--NSN--- τίς
μοι RP--DS---- ἐγώ
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
πρωτοτόκια N2N-NPN--- πρωτοτόκιον

Gen 25:33
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Ιακωβ N---NSM--- Ἰακώβ
ὄμοσόν VA--AAD2S- ὄμνυμι
μοι RP--DS---- ἐγώ
σήμερον D--------- σήμερον
καὶ C--------- καί
ὤμοσεν VAI-AAI3S- ὄμνυμι
αὐτῷ RD--DSM--- αὐτός
ἀπέδοτο VOI-AMI3S- δίδωμι ἀπο
δὲ X--------- δέ
Ησαυ N---NSM--- Ησαυ
τὰ RA--APN--- ὁ
πρωτοτόκια N2N-APN--- πρωτοτόκιον
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ

Gen 25:34
Ιακωβ N---NSM--- Ἰακώβ
δὲ X--------- δέ
ἔδωκεν VAI-AAI3S- δίδωμι
τῷ RA--DSM--- ὁ
Ησαυ N---DSM--- Ησαυ
ἄρτον N2--ASM--- ἄρτος
καὶ C--------- καί
ἕψεμα N3M-ASN--- ἕψεμα
φακοῦ N2--GSM--- φακός
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
ᾤχετο V1I-IMI3S- οἴχομαι
