Jer 1:1
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἐροῦσιν VF2-FAI3P- εἶπον
ἔτι D--------- ἔτι
ζῇ V3--PAI3S- ζάω
κύριος N2--NSM--- κύριος
ὃς RR--NSM--- ὅς
ἀνήγαγεν VBI-AAI3S- ἄγω ἀνα
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Jer 23:8
ἀλλά C--------- ἀλλά
ζῇ V3--PAI3S- ζάω
κύριος N2--NSM--- κύριος
ὃς RR--NSM--- ὅς
συνήγαγεν VBI-AAI3S- ἄγω συν
ἅπαν A3--ASN--- ἅπας
τὸ RA--ASN--- ὁ
σπέρμα N3M-ASN--- σπέρμα
Ισραηλ N---GSM--- Ἰσραήλ
ἀπὸ P--------- ἀπό
γῆς N1--GSF--- γῆ
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPF--- ὁ
χωρῶν N1A-GPF--- χώρα
οὗ D--------- οὗ
ἐξῶσεν VA--AAI3S- ὠθέω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἀπεκατέστησεν VHI-AAI3S- ἵστημι ἀπο κατα
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτῶν RD--GPM--- αὐτός

Jer 24:1
ἔδειξέν VAI-AAI3S- δεικνύω
μοι RP--DS---- ἐγώ
κύριος N2--NSM--- κύριος
δύο M--------- δύο
καλάθους N2--APM--- καλάθος
σύκων N1--GPF--- συκῆ
κειμένους V5--PMPAPM κεῖμαι
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
ναοῦ N2--GSM--- ναός
κυρίου N2--GSM--- κύριος
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
ἀποικίσαι VA--AAN--- οἰκίζω ἀπο
Ναβουχοδονοσορ N---ASM--- Ναβουχοδονοσορ
βασιλέα N3V-ASM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
τὸν RA--ASM--- ὁ
Ιεχονιαν N1T-ASM--- Ιεχονιας
υἱὸν N2--ASM--- υἱός
Ιωακιμ N---GSM--- Ιωακιμ
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
καὶ C--------- καί
τοὺς RA--APM--- ὁ
τεχνίτας N1M-APM--- τεχνίτης
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δεσμώτας N1M-APM--- δεσμώτης
καὶ C--------- καί
τοὺς RA--APM--- ὁ
πλουσίους A1A-APM--- πλούσιος
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών

Jer 24:2
ὁ RA--NSM--- ὁ
κάλαθος N2--NSM--- κάλαθος
ὁ RA--NSM--- ὁ
εἷς A3--NSM--- εἷς
σύκων N1--GPF--- συκῆ
χρηστῶν A1--GPF--- χρηστός
σφόδρα D--------- σφόδρα
ὡς C--------- ὡς
τὰ RA--NPN--- ὁ
σῦκα M3M-NPN--- σῦκον
τὰ RA--NPN--- ὁ
πρόιμα A1B-NPN--- πρώιμος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κάλαθος N2--NSM--- κάλαθος
ὁ RA--NSM--- ὁ
ἕτερος A1A-NSM--- ἕτερος
σύκων N1--GPF--- συκῆ
πονηρῶν A1A-GPF--- πονηρός
σφόδρα D--------- σφόδρα
ἃ RR--NPN--- ὅς
οὐ D--------- οὐ
βρωθήσεται VC--FPI3S- βιβρώσκω
ἀπὸ P--------- ἀπό
πονηρίας N1A-GSF--- πονηρία
αὐτῶν RD--GPN--- αὐτός

Jer 24:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ὁρᾷς V3--PAI2S- ὁράω
Ιερεμια N1T-VSM--- Ἰερεμίας
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
σῦκα N2N-APN--- σῦκον
τὰ RA--NPN--- ὁ
χρηστὰ A1--NPN--- χρηστός
χρηστὰ A1--NPN--- χρηστός
λίαν D--------- λίαν
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πονηρὰ A1A-NPN--- πονηρός
πονηρὰ A1A-NPN--- πονηρός
λίαν D--------- λίαν
ἃ RR--NPN--- ὅς
οὐ D--------- οὐ
βρωθήσεται VC--FPI3S- βιβρώσκω
ἀπὸ P--------- ἀπό
πονηρίας N1A-GSF--- πονηρία
αὐτῶν RD--GPN--- αὐτός

Jer 24:4
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Jer 24:5
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ὡς C--------- ὡς
τὰ RA--APN--- ὁ
σῦκα N2N-APN--- σῦκον
τὰ RA--APN--- ὁ
χρηστὰ A1--APN--- χρηστός
ταῦτα RD--APN--- οὗτος
οὕτως D--------- οὕτως
ἐπιγνώσομαι VF--FMI1S- γιγνώσκω ἐπι
τοὺς RA--APM--- ὁ
ἀποικισθέντας VS--APPAPM οἰκίζω ἀπο
Ιουδα N---GSM--- Ιουδα
οὓς RR--APM--- ὅς
ἐξαπέσταλκα VXI-XAI1S- στέλλω ἐκ ἀπο
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τούτου RD--GSM--- οὗτος
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χαλδαίων N2--GPM--- Χαλδαῖος
εἰς P--------- εἰς
ἀγαθά A1--APN--- ἀγαθός

Jer 24:6
καὶ C--------- καί
στηριῶ VF2-FAI1S- στηρίζω
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἀγαθὰ A1--APN--- ἀγαθός
καὶ C--------- καί
ἀποκαταστήσω VF--FAI1S- ἵστημι ἀπο κατα
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
εἰς P--------- εἰς
ἀγαθὰ A1--APN--- ἀγαθός
καὶ C--------- καί
ἀνοικοδομήσω VF--FAI1S- οἰκοδομέω ἀνα
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
καθελῶ VA--AAS1S- αἱρέω κατα
καὶ C--------- καί
καταφυτεύσω VF--FAI1S- φυτεύω κατα
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐκτίλω V1--PAI1S- τίλλω ἐκ

Jer 24:7
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
καρδίαν N1A-ASF--- καρδία
τοῦ RA--GSN--- ὁ
εἰδέναι VX--XAN--- οἶδα
αὐτοὺς RD--APM--- αὐτός
ἐμὲ RP--AS---- ἐγώ
ὅτι C--------- ὅτι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἔσονταί VF--FMI3P- εἰμί
μοι RP--DS---- ἐγώ
εἰς P--------- εἰς
λαόν N2--ASM--- λαός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἔσομαι VF--FMI1S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
θεόν N2--ASM--- θεός
ὅτι C--------- ὅτι
ἐπιστραφήσονται VD--FPI3P- στρέφω ἐπι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
ἐξ P--------- ἐκ
ὅλης A1--GSF--- ὅλος
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός

Jer 24:8
καὶ C--------- καί
ὡς C--------- ὡς
τὰ RA--APN--- ὁ
σῦκα N2N-APN--- σῦκον
τὰ RA--APN--- ὁ
πονηρά A1A-APN--- πονηρός
ἃ RR--APN--- ὅς
οὐ D--------- οὐ
βρωθήσεται VC--FPI3S- βιβρώσκω
ἀπὸ P--------- ἀπό
πονηρίας N1A-GSF--- πονηρία
αὐτῶν RD--GPN--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὕτως D--------- οὕτως
παραδώσω VF--FAI1S- δίδωμι παρα
τὸν RA--ASM--- ὁ
Σεδεκιαν N1T-ASM--- Σεδεκιας
βασιλέα N3V-ASM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μεγιστᾶνας N3--APM--- μεγιστάν
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
κατάλοιπον A1B-ASN--- κατάλοιπος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
τοὺς RA--APM--- ὁ
ὑπολελειμμένους VP--XMPAPM λείπω ὑπο
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ταύτῃ RD--DSF--- οὗτος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
Αἰγύπτῳ N2--DSF--- Αἴγυπτος

Jer 24:9
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
διασκορπισμὸν N2--ASM--- διασκορπισμός
εἰς P--------- εἰς
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
βασιλείας N1A-APF--- βασιλεία
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
καὶ C--------- καί
εἰς P--------- εἰς
παραβολὴν N1--ASF--- παραβολή
καὶ C--------- καί
εἰς P--------- εἰς
μῖσος N3--ASN--- μῖσος
καὶ C--------- καί
εἰς P--------- εἰς
κατάραν N1A-ASF--- κατάρα
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
τόπῳ N2--DSM--- τόπος
οὗ D--------- οὗ
ἐξῶσα VA--AAI1S- ὠθέω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐκεῖ D--------- ἐκεῖ

Jer 24:10
καὶ C--------- καί
ἀποστελῶ VF2-FAI1S- στέλλω ἀπο
εἰς P--------- εἰς
αὐτοὺς RD--APM--- αὐτός
τὸν RA--ASM--- ὁ
λιμὸν N2--ASM--- λιμός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
θάνατον N2--ASM--- θάνατος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μάχαιραν N1A-ASF--- μάχαιρα
ἕως C--------- ἕως
ἂν X--------- ἄν
ἐκλίπωσιν VB--AAS3P- λείπω ἐκ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἧς RR--GSF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός

Jer 25:1
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ὁ RA--NSM--- ὁ
γενόμενος VB--AMPNSM γίγνομαι
πρὸς P--------- πρός
Ιερεμιαν N1T-ASM--- Ἰερεμίας
ἐπὶ P--------- ἐπί
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
Ιουδα N---GSM--- Ιουδα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
τετάρτῳ A1--DSN--- τέταρτος
τοῦ RA--GSM--- ὁ
Ιωακιμ N---GSM--- Ιωακιμ
υἱοῦ N2--GSM--- υἱός
Ιωσια N---GSM--- Ιωσια
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα

Jer 25:2
ὃν RR--ASM--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
πρὸς P--------- πρός
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
λέγων V1--PAPNSM λέγω

Jer 25:3
ἐν P--------- ἐν
τρισκαιδεκάτῳ A1--DSN--- τρισκαιδέκατος
ἔτει N3E-DSN--- ἔτος
Ιωσια N---GSM--- Ιωσια
υἱοῦ N2--GSM--- υἱός
Αμως N---GSM--- Αμως
βασιλέως N3V-GSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
τρία A3--APN--- τρεῖς
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
ὀρθρίζων V1--PAPNSM ὀρθρίζω
καὶ C--------- καί
λέγων V1--PAPNSM λέγω

Jer 25:4
καὶ C--------- καί
ἀπέστελλον V1I-IAI1S- στέλλω ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
τοὺς RA--APM--- ὁ
δούλους N2--APM--- δοῦλος
μου RP--GS---- ἐγώ
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
ὄρθρου N2--GSM--- ὄρθρος
ἀποστέλλων V1--PAPNSM στέλλω ἀπο
καὶ C--------- καί
οὐκ D--------- οὐ
εἰσηκούσατε VAI-AAI2P- ἀκούω εἰς
καὶ C--------- καί
οὐ D--------- οὐ
προσέσχετε VBI-AAI2P- ἔχω προς
τοῖς RA--DPN--- ὁ
ὠσὶν N3T-DPN--- οὖς
ὑμῶν RP--GP---- σύ

Jer 25:5
λέγων V1--PAPNSM λέγω
ἀποστράφητε VA--AAD2P- στρέφω ἀπο
ἕκαστος A1--NSM--- ἕκαστος
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
πονηρᾶς A1A-GSF--- πονηρός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
πονηρῶν A1A-GPN--- πονηρός
ἐπιτηδευμάτων N3M-GPN--- ἐπιτήδευμα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατοικήσετε VF--FAI2P- οἰκέω κατα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἧς RR--GSF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὑμῶν RP--GP---- σύ
ἀπ' P--------- ἀπό
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

Jer 25:6
μὴ D--------- μή
πορεύεσθε V1--PMS2P- πορεύομαι
ὀπίσω P--------- ὀπίσω
θεῶν N2--GPM--- θεός
ἀλλοτρίων A1A-GPM--- ἀλλότριος
τοῦ RA--GSN--- ὁ
δουλεύειν V1--PAN--- δουλεύω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
προσκυνεῖν V2--PAN--- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός
ὅπως C--------- ὅπως
μὴ D--------- μή
παροργίζητέ V1--PAS2P- ὀργίζω παρα
με RP--AS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ὑμῶν RP--GP---- σύ
τοῦ RA--GSN--- ὁ
κακῶσαι VA--AAN--- κακόω
ὑμᾶς RP--AP---- σύ

Jer 25:7
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσατέ VAI-AAI2P- ἀκούω
μου RP--GS---- ἐγώ

Jer 25:8
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπειδὴ C--------- ἐπειδή
οὐκ D--------- οὐ
ἐπιστεύσατε VAI-AAI2P- πιστεύω
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
μου RP--GS---- ἐγώ

Jer 25:9
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἀποστέλλω V1--PAI1S- στέλλω ἀπο
καὶ C--------- καί
λήμψομαι VF--FMI1S- λαμβάνω
τὴν RA--ASF--- ὁ
πατριὰν N1A-ASF--- πατριά
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
ἄξω VF--FAI1S- ἄγω
αὐτοὺς RD--APM--- αὐτός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
τὰ RA--APN--- ὁ
κύκλῳ N2--DSM--- κύκλος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐξερημώσω VF--FAI1S- ἐρημόω ἐκ
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
καὶ C--------- καί
εἰς P--------- εἰς
συριγμὸν N2--ASM--- συριγμός
καὶ C--------- καί
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
αἰώνιον A1A-ASM--- αἰώνιος

Jer 25:10
καὶ C--------- καί
ἀπολῶ VF2-FAI1S- ὀλλύω ἀπο
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
φωνὴν N1--ASF--- φωνή
χαρᾶς N1A-GSF--- χαρά
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
εὐφροσύνης N1--GSF--- εὐφροσύνη
φωνὴν N1--ASF--- φωνή
νυμφίου N2--GSM--- νυμφίος
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
νύμφης N1--GSF--- νύμφη
ὀσμὴν N1--ASF--- ὀσμή
μύρου N2N-GSN--- μύρον
καὶ C--------- καί
φῶς N3T-ASN--- φῶς
λύχνου N2--GSM--- λύχνος

Jer 25:11
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
εἰς P--------- εἰς
ἀφανισμόν N2--ASM--- ἀφανισμός
καὶ C--------- καί
δουλεύσουσιν VF--FAI3P- δουλεύω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἔτη N3E-APN--- ἔτος

Jer 25:12
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πληρωθῆναι VC--APN--- πληρόω
τὰ RA--APN--- ὁ
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἔτη N3E-APN--- ἔτος
ἐκδικήσω VF--FAI1S- δικέω ἐκ
τὸ RA--ASN--- ὁ
ἔθνος N3E-ASN--- ἔθνος
ἐκεῖνο RD--ASN--- ἐκεῖνος
φησὶν V6--PAI3S- φημί
κύριος N2--NSM--- κύριος
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
αἰώνιον A1A-ASM--- αἰώνιος

Jer 25:13
καὶ C--------- καί
ἐπάξω VF--FAI1S- ἄγω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐκείνην RD--ASF--- ἐκεῖνος
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
οὓς RR--APM--- ὅς
ἐλάλησα VAI-AAI1S- λαλέω
κατ' P--------- κατά
αὐτῆς RD--GSF--- αὐτός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
βιβλίῳ N2N-DSN--- βιβλίον
τούτῳ RD--DSN--- οὗτος

Jer 25:14
ἃ RR--APN--- ὅς
ἐπροφήτευσεν VAI-AAI3S- προφητεύω
Ιερεμιας N1T-NSM--- Ἰερεμίας
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
τὰ RA--APN--- ὁ
Αιλαμ N---APN--- Αιλαμ

Jer 25:15
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
συντριβήτω VD--APD3S- τρίβω συν
τὸ RA--ASN--- ὁ
τόξον N2N-ASN--- τόξον
Αιλαμ N---GS---- Αιλαμ
ἀρχὴ N1--NSF--- ἀρχή
δυναστείας N1A-GSF--- δυναστεία
αὐτῶν RD--GPM--- αὐτός

Jer 25:16
καὶ C--------- καί
ἐπάξω VF--FAI1S- ἄγω ἐπι
ἐπὶ P--------- ἐπί
