Ezek 25:1
διὰ P--------- διά
παντός A3--GSM--- πᾶς

Ezek 46:15
ποιήσετε VF--FAI2P- ποιέω
τὸν RA--ASM--- ὁ
ἀμνὸν N2--ASM--- ἀμνός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
μαναα N---ASN--- μαναα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον
ποιήσετε VF--FAI2P- ποιέω
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα
διὰ P--------- διά
παντός A3--GSM--- πᾶς

Ezek 46:16
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
θεός N2--NSM--- θεός
ἐὰν C--------- ἐάν
δῷ VO--AAS3S- δίδωμι
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
δόμα N3M-ASN--- δόμα
ἑνὶ A3--DSM--- εἷς
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
τοῦτο RD--NSN--- οὗτος
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἔσται VF--FMI3S- εἰμί
κατάσχεσις N3I-NSF--- κατάσχεσις
ἐν P--------- ἐν
κληρονομίᾳ N1A-DSF--- κληρονομία

Ezek 46:17
ἐὰν C--------- ἐάν
δὲ X--------- δέ
δῷ VO--AAS3S- δίδωμι
δόμα N3M-ASN--- δόμα
ἑνὶ A3--DSM--- εἷς
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἔτους N3E-GSN--- ἔτος
τῆς RA--GSF--- ὁ
ἀφέσεως N3I-GSF--- ἄφεσις
καὶ C--------- καί
ἀποδώσει VF--FAI3S- δίδωμι ἀπο
τῷ RA--DSM--- ὁ
ἀφηγουμένῳ V2--PMPDSM ἡγέομαι ἀπο
πλὴν D--------- πλήν
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
αὐτοῖς RD--DPM--- αὐτός
ἔσται VF--FMI3S- εἰμί

Ezek 46:18
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
λάβῃ VB--AAS3S- λαμβάνω
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κληρονομίας N1A-GSF--- κληρονομία
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
καταδυναστεῦσαι VA--AAN--- δυναστεύω κατα
αὐτούς RD--APM--- αὐτός
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κατασχέσεως N3I-GSF--- κατάσχεσις
αὐτοῦ RD--GSM--- αὐτός
κατακληρονομήσει VF--FAI3S- κληρονομέω κατα
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ὅπως C--------- ὅπως
μὴ D--------- μή
διασκορπίζηται V1--PPS3S- σκορπίζω δια
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἕκαστος A1--NSM--- ἕκαστος
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κατασχέσεως N3I-GSF--- κατάσχεσις
αὐτοῦ RD--GSM--- αὐτός

Ezek 46:19
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
εἴσοδον N2--ASF--- εἴσοδος
τῆς RA--GSF--- ὁ
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἐξέδραν N1--ASF--- ἐξέδρα
τῶν RA--GPN--- ὁ
ἁγίων A1A-GPN--- ἅγιος
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
τὴν RA--ASF--- ὁ
βλέπουσαν V1--PAPASF βλέπω
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τόπος N2--NSM--- τόπος
ἐκεῖ D--------- ἐκεῖ
κεχωρισμένος VT--XMPNSM χωρίζω

Ezek 46:20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
ἐστίν V9--PAI3S- εἰμί
οὗ RR--GSM--- ὅς
ἑψήσουσιν VF--FAI3P- ἕψω
ἐκεῖ D--------- ἐκεῖ
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
τὰ RA--APN--- ὁ
ὑπὲρ P--------- ὑπέρ
ἀγνοίας N1A-APF--- ἄγνοια
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὑπὲρ P--------- ὑπέρ
ἁμαρτίας N1A-APF--- ἁμαρτία
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
πέψουσι VF--FAI3P- πέσσω
τὸ RA--ASN--- ὁ
μαναα N---ASN--- μαναα
τὸ RA--ASN--- ὁ
παράπαν D--------- παράπαν
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἐκφέρειν V1--PAN--- φέρω ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐξωτέραν A1A-ASF--- ἐξώτερος
τοῦ RA--GSN--- ὁ
ἁγιάζειν V1--PAN--- ἁγιάζω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός

Ezek 46:21
καὶ C--------- καί
ἐξήγαγέν VBI-AAI3S- ἄγω ἐκ
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐξωτέραν A1A-ASF--- ἐξώτερος
καὶ C--------- καί
περιήγαγέν VBI-AAI3S- ἄγω περι
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
μέρη N3E-APN--- μέρος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
αὐλὴ N1--NSF--- αὐλή
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
κλίτος N3E-ASN--- κλίτος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
αὐλὴ N1--NSF--- αὐλή
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
κλίτος N3E-ASN--- κλίτος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή

Ezek 46:22
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
κλίτη N3E-APN--- κλίτος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
αὐλὴ N1--NSF--- αὐλή
μικρά A1A-NSF--- μικρός
μῆκος N3E-ASN--- μῆκος
πηχῶν N3V-DPM--- πηχύς
τεσσαράκοντα M--------- τεσσαράκοντα
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
πηχῶν N3V-DPM--- πηχύς
τριάκοντα M--------- τριάκοντα
μέτρον N2N-ASN--- μέτρον
ἓν A3--ASN--- εἷς
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες

Ezek 46:23
καὶ C--------- καί
ἐξέδραι N1--NPF--- ἐξέδρα
κύκλῳ N2--DSM--- κύκλος
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
κύκλῳ N2--DSM--- κύκλος
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
καὶ C--------- καί
μαγειρεῖα N2N-NPN--- μαγειρεῖον
γεγονότα VX--XAPNPN γίγνομαι
ὑποκάτω P--------- ὑποκάτω
τῶν RA--GPF--- ὁ
ἐξεδρῶν N1--GPF--- ἐξέδρα
κύκλῳ N2--DSM--- κύκλος

Ezek 46:24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
οἶκοι N2--NPM--- οἶκος
τῶν RA--GPM--- ὁ
μαγειρείων N2N-GPN--- μαγειρεῖον
οὗ RR--GSM--- ὅς
ἑψήσουσιν VF--FAI3P- ἕψω
ἐκεῖ D--------- ἐκεῖ
οἱ RA--NPM--- ὁ
λειτουργοῦντες V2--PAPNPM λειτουργέω
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τὰ RA--APN--- ὁ
θύματα N3M-APN--- θῦμα
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός

Ezek 47:1
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πρόθυρα N2N-APN--- πρόθυρον
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὕδωρ N3--NSN--- ὕδωρ
ἐξεπορεύετο V1I-IMI3S- πορεύομαι ἐκ
ὑποκάτωθεν D--------- ὑποκάτωθεν
τοῦ RA--GSN--- ὁ
αἰθρίου A1B-GSN--- αἴθριος
κατ' P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
ὅτι C--------- ὅτι
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ἔβλεπεν V1I-IAI3S- βλέπω
κατ' P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
κατέβαινεν V1I-IAI3S- βαίνω κατα
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
κλίτους N3E-GSN--- κλίτος
τοῦ RA--GSM--- ὁ
δεξιοῦ A1A-GSM--- δεξιός
ἀπὸ P--------- ἀπό
νότου N2--GSM--- νότος
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον

Ezek 47:2
καὶ C--------- καί
ἐξήγαγέν VBI-AAI3S- ἄγω ἐκ
με RP--AS---- ἐγώ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
περιήγαγέν VBI-AAI3S- ἄγω περι
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
ἔξωθεν D--------- ἔξωθεν
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
κατ' P--------- κατά
ἀνατολάς N1--APF--- ἀνατολή
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
κατεφέρετο V1I-IMI3S- φέρω κατα
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
κλίτους N3E-GSN--- κλίτος
τοῦ RA--GSN--- ὁ
δεξιοῦ A1A-GSN--- δεξιός

Ezek 47:3
καθὼς D--------- καθώς
ἔξοδος N2--NSF--- ἔξοδος
ἀνδρὸς N3--GSM--- ἀνήρ
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
καὶ C--------- καί
μέτρον N2N-ASN--- μέτρον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
χιλίους A1A-APM--- χίλιοι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
μέτρῳ N2N-DSN--- μέτρον
καὶ C--------- καί
διῆλθεν VBI-AAI3S- ἔρχομαι δια
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
ὕδωρ N3--NSN--- ὕδωρ
ἀφέσεως N3I-GSF--- ἄφεσις

Ezek 47:4
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
χιλίους A1A-APM--- χίλιοι
καὶ C--------- καί
διῆλθεν VBI-AAI3S- ἔρχομαι δια
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
ὕδωρ N3--NSN--- ὕδωρ
ἕως P--------- ἕως
τῶν RA--GPM--- ὁ
μηρῶν N2--GPM--- μηρός
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
χιλίους A1A-APM--- χίλιοι
καὶ C--------- καί
διῆλθεν VBI-AAI3S- ἔρχομαι δια
ὕδωρ N3--NSN--- ὕδωρ
ἕως P--------- ἕως
ὀσφύος N3U-GSF--- ὀσφύς

Ezek 47:5
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
χιλίους A1A-APM--- χίλιοι
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδύνατο V6I-IMI3S- δύναμαι
διελθεῖν VB--AAN--- ἔρχομαι δια
ὅτι C--------- ὅτι
ἐξύβριζεν V1I-IAI3S- ὑβρίζω ἐκ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ὡς C--------- ὡς
ῤοῖζος N2--NSM--- ῤοῖζος
χειμάρρου N2--GSM--- χειμάρρους
ὃν RR--ASM--- ὅς
οὐ D--------- οὐ
διαβήσονται VF--FMI3P- βαίνω δια

Ezek 47:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
εἰ C--------- εἰ
ἑώρακας VX--XAI2S- ὁράω
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
ἤγαγέν VBI-AAI3S- ἄγω
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
χεῖλος N3E-ASN--- χεῖλος
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός

Ezek 47:7
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐπιστροφῇ N1--DSF--- ἐπιστροφή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
χείλους N3E-GSN--- χεῖλος
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
δένδρα N2N-NPN--- δένδρον
πολλὰ A1--NPN--- πολύς
σφόδρα D--------- σφόδρα
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν

Ezek 47:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ἐκπορευόμενον V1--PMPNSN πορεύομαι ἐκ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Γαλιλαίαν N1A-ASF--- Γαλιλαία
τὴν RA--ASF--- ὁ
πρὸς P--------- πρός
ἀνατολὰς N1--APF--- ἀνατολή
καὶ C--------- καί
κατέβαινεν V1I-IAI3S- βαίνω κατα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
Ἀραβίαν N1A-ASF--- Ἀραβία
καὶ C--------- καί
ἤρχετο V1I-IMI3S- ἄρχω
ἕως D--------- ἕως
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
τῆς RA--GSF--- ὁ
διεκβολῆς N1--GSF--- διεκβολή
καὶ C--------- καί
ὑγιάσει VF--FAI3S- ὑγιάζω
τὰ RA--NPN--- ὁ
ὕδατα N3T-NPN--- ὕδωρ

Ezek 47:9
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
πᾶσα A1S-NSF--- πᾶς
ψυχὴ N1--NSF--- ψυχή
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
τῶν RA--GPN--- ὁ
ἐκζεόντων V1--PAPGPN ζέω ἐκ
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
ἐφ' P--------- ἐπί
ἃ RR--APN--- ὅς
ἂν X--------- ἄν
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ἐκεῖ D--------- ἐκεῖ
ὁ RA--NSM--- ὁ
ποταμός N2--NSM--- ποταμός
ζήσεται VF--FMI3S- ζάω
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
ἰχθὺς N3U-NSM--- ἰχθύς
πολὺς A1P-NSM--- πολύς
σφόδρα D--------- σφόδρα
ὅτι C--------- ὅτι
ἥκει V1--PAI3S- ἥκω
ἐκεῖ D--------- ἐκεῖ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τοῦτο RD--NSN--- οὗτος
καὶ C--------- καί
ὑγιάσει VF--FAI3S- ὑγιάζω
καὶ C--------- καί
ζήσεται VF--FMI3S- ζάω
πᾶν A3--NSN--- πᾶς
ἐφ' P--------- ἐπί
ὃ RR--ASN--- ὅς
ἂν X--------- ἄν
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ὁ RA--NSM--- ὁ
ποταμὸς N2--NSM--- ποταμός
ἐκεῖ D--------- ἐκεῖ
ζήσεται VF--FMI3S- ζάω

Ezek 47:10
καὶ C--------- καί
στήσονται VF--FMI3P- ἵστημι
ἐκεῖ D--------- ἐκεῖ
ἁλεεῖς N3V-NPM--- ἁλιεύς
ἀπὸ P--------- ἀπό
Αινγαδιν N---G----- Αινγαδιν
ἕως P--------- ἕως
Αιναγαλιμ N---G----- Αιναγαλιμ
ψυγμὸς N2--NSM--- ψυγμός
σαγηνῶν N1--GPF--- σαγήνη
ἔσται VF--FMI3S- εἰμί
καθ' P--------- κατά
αὑτὴν RD--ASF--- ἑαυτοῦ
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἰχθύες N3U-NPM--- ἰχθύς
αὐτῆς RD--GSF--- αὐτός
ὡς C--------- ὡς
οἱ RA--NPM--- ὁ
ἰχθύες N3U-NPM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
τῆς RA--GSF--- ὁ
μεγάλης A1--GSF--- μέγας
πλῆθος N3E-ASN--- πλῆθος
πολὺ A1P-ASN--- πολύς
σφόδρα D--------- σφόδρα

Ezek 47:11
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
διεκβολῇ N1--DSF--- διεκβολή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐπιστροφῇ N1--DSF--- ἐπιστροφή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑπεράρσει N3I-DSF--- ὑπέραρσις
αὐτοῦ RD--GSM--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
ὑγιάσωσιν VA--AAS3P- ὑγιάζω
εἰς P--------- εἰς
ἅλας N3--APM--- ἅλς
δέδονται VM--XMI3P- δίδωμι

Ezek 47:12
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
ἀναβήσεται VF--FMI3S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
χείλους N3E-GSN--- χεῖλος
αὐτοῦ RD--GSM--- αὐτός
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν
πᾶν A3--NSN--- πᾶς
ξύλον N2N-NSN--- ξύλον
βρώσιμον A1B-NSN--- βρώσιμος
οὐ D--------- οὐ
μὴ D--------- μή
παλαιωθῇ VC--APS3S- παλαιόω
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSM--- αὐτός
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
ἐκλίπῃ VB--AAS3S- λείπω ἐκ
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
καινότητος N3T-GSF--- καινότης
αὐτοῦ RD--GSM--- αὐτός
πρωτοβολήσει VF--FAI3S- πρωτοβολέω
διότι C--------- διότι
τὰ RA--NPN--- ὁ
ὕδατα N3T-NPN--- ὕδωρ
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ἁγίων A1A-GPN--- ἅγιος
ταῦτα RD--NPN--- οὗτος
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
καρπὸς N2--NSM--- καρπός
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
καὶ C--------- καί
ἀνάβασις N3I-NSF--- ἀνάβασις
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ὑγίειαν N1A-ASF--- ὑγίεια

Ezek 47:13
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
θεός N2--NSM--- θεός
ταῦτα RD--APN--- οὗτος
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
κατακληρονομήσετε VF--FAI2P- κληρονομέω κατα
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ταῖς RA--DPF--- ὁ
δώδεκα M--------- δώδεκα
φυλαῖς N1--DPF--- φυλή
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
πρόσθεσις N3I-NSF--- πρόσθεσις
